text
"###Human:
Record 45 minutes for Skyline Design on Tuesday July 16th at 3:15 PM.

###Assistant:
{
 ""TimeSheetDataFields"": {
   ""ActivityType"": ""T002"",
   ""WBSElement"": ""INTERCOAP.1.1"",
   ""TimeSheetNote"": ""API Posting new"",
   ""RecordedHours"": ""0.75"",
   ""RecordedQuantity"": ""1"",
   ""HoursUnitOfMeasure"": ""H""
 },
 ""CompanyCode"": ""1710"",
 ""PersonWorkAgreement"": ""50000058"",
 ""TimeSheetDate"": ""2023-07-16T15:15:00"",
 ""TimeSheetOperation"": ""C"",
 ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Put Down 30 minutes on Aqua Dynamics for Last Thursday at 4:45 PM.

###Assistant:
{
  ""TimeSheetDataFields"": {
    ""ActivityType"": ""T002"",
    ""WBSElement"": ""INTERCOAP.1.1"",
    ""TimeSheetNote"": ""API Posting new"",
    ""RecordedHours"": ""0.5"",
    ""RecordedQuantity"": ""1"",
    ""HoursUnitOfMeasure"": ""H""
  },
  ""CompanyCode"": ""1710"",
  ""PersonWorkAgreement"": ""50000058"",
  ""TimeSheetDate"": ""2024-01-25T16:45:00"",
  ""TimeSheetOperation"": ""C"",
  ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Record 20 minutes on Virtual Reality for April 3rd at 5:15 PM.

###Assistant:
{
  ""TimeSheetDataFields"": {
    ""ActivityType"": ""T002"",
    ""WBSElement"": ""INTERCOAP.1.1"",
    ""TimeSheetNote"": ""API Posting new"",
    ""RecordedHours"": ""0.3333"",
    ""RecordedQuantity"": ""1"",
    ""HoursUnitOfMeasure"": ""H""
  },
  ""CompanyCode"": ""1710"",
  ""PersonWorkAgreement"": ""50000058"",
  ""TimeSheetDate"": ""2023-04-03T17:15:00"",
  ""TimeSheetOperation"": ""C"",
  ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Book 45 minutes on Mars Rover for Wednesday April 17th at 12:15 PM.

###Assistant:
{
 ""TimeSheetDataFields"": {
   ""ActivityType"": ""T002"",
   ""WBSElement"": ""INTERCOAP.1.1"",
   ""TimeSheetNote"": ""API Posting new"",
   ""RecordedHours"": ""0.75"",
   ""RecordedQuantity"": ""1"",
   ""HoursUnitOfMeasure"": ""H""
 },
 ""CompanyCode"": ""1710"",
 ""PersonWorkAgreement"": ""50000058"",
 ""TimeSheetDate"": ""2024-04-17T12:15:00"",
 ""TimeSheetOperation"": ""C"",
 ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Record 15 minutes for Quantum Computing on Saturday July 5th at 4:00 PM.

###Assistant:
{
 ""TimeSheetDataFields"": {
   ""ActivityType"": ""T002"",
   ""WBSElement"": ""INTERCOAP.1.1"",
   ""TimeSheetNote"": ""API Posting new"",
   ""RecordedHours"": ""0.25"",
   ""RecordedQuantity"": ""1"",
   ""HoursUnitOfMeasure"": ""H""
 },
 ""CompanyCode"": ""1710"",
 ""PersonWorkAgreement"": ""50000058"",
 ""TimeSheetDate"": ""2024-07-05T16:00:00"",
 ""TimeSheetOperation"": ""C"",
 ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Book 30 minutes on BioTech Breakthrough for July 12th at 11:00 AM.

###Assistant:
{
 ""TimeSheetDataFields"": {
  ""ActivityType"": ""T002"",
  ""WBSElement"": ""INTERCOAP.1.1"",
  ""TimeSheetNote"": ""API Posting new"",
  ""RecordedHours"": ""0.5"",
  ""RecordedQuantity"": ""1"",
  ""HoursUnitOfMeasure"": ""H""
 },
 ""CompanyCode"": ""1710"",
 ""PersonWorkAgreement"": ""50000058"",
 ""TimeSheetDate"": ""2023-07-12T11:00:00"",
 ""TimeSheetOperation"": ""C"",
 ""TimeSheetIsReleasedOnSave"": false
}"
"###Human:
Put Down 45 minutes for AI Integration on Sunday August 13th at 5:00 PM.

###Assistant:
{
 ""TimeSheetDataFields"": {
   ""ActivityType"": ""T002"",
   ""WBSElement"": ""INTERCOAP.1.1"",
   ""TimeSheetNote"": ""API Posting new"",
   ""RecordedHours"": ""0.75"",
   ""RecordedQuantity"": ""1"",
   ""HoursUnitOfMeasure"": ""H""
 },
 ""CompanyCode"": ""1710"",
